"","Eagle_002_null","Eagle_004_null","Eagle_006_null","Eagle_007_null","Eagle_008_null","Eagle_012_null","Eagle_013_null","Eagle_014_null","Eagle_015_null","Eagle_020_null","Eagle_021_null","Eagle_022_null"
"TMX3",1410.50766551713,1539.14712852938,1505.68363566385,1606.45207819151,1511.76029628276,1612.68507110248,1450.66540788463,1906.168397457,1662.84687025583,1653.30335376016,2047.08270098643,855.794322942437
"DSEL",5.28720074537868,0.850827600071521,0,0.895458237564944,3.20968215771286,0,0,3.96018365122646,4.9384506117059,2.30479092066937,2.24460822476582,3.85492938262359
"CDH19",106.918948406547,65.5137252055071,39.3035595450933,36.7137877401627,35.3065037348414,80.634253555124,24.9541067870063,39.6018365122646,77.6042238982356,34.5718638100406,34.7914274838702,29.2974633079393
"CDH7",108.09388190552,85.9335876072236,35.0158985038104,32.236496552338,39.5860799451252,70.5549718607335,24.9541067870063,42.2419589464155,77.6042238982356,33.0353365295943,34.7914274838702,32.3814068140382
"MC2R",1.17493349897304,1.70165520014304,0,0,0,0,0,0,0.705492944529415,0,1.12230411238291,0.770985876524718
"MC5R",6.46213424435172,5.10496560042913,0.714610173547151,4.47729118782472,0,0,1.66360711913376,0,2.82197177811766,0,3.36691233714873,0.770985876524718
"RNMT",3251.0409916584,3304.61439867779,3669.52324116462,3391.10034565844,3924.37138483025,4301.33346308115,4571.59236337956,3482.32149064513,3531.69768031425,3650.02055470006,3728.29426133602,2716.18324299658
"FAM210A",713.772100626122,777.65642646537,708.893292158774,631.298057483286,701.850498486545,781.144331315264,731.987132418852,627.029078110856,574.976749791473,588.489948410913,663.281730418299,527.354339542907
"LDLRAD4",373.04138592394,470.507662839551,403.754748054141,642.93901457163,547.785754916328,347.735218456472,514.05459981233,542.545160218025,426.823231440296,468.640820536105,374.849573535892,601.36898368928
"LOC104841575",1427.54420125224,1394.50643651722,1635.74268724943,1362.88743757385,1413.33004344623,1375.8219512843,1849.93111647674,1403.22507375124,1021.55378367859,1694.02132669199,1623.97405061807,1612.90245368971
"PTPN2",2861.55053674884,3165.92949986613,4877.21443445931,3911.36158168368,3561.6773010087,3820.047762174,4313.73325991383,4032.78701816561,3653.04246677331,3916.60803785748,3760.84108059513,4514.12230705223
"PSMG2",360.704584184723,350.540971229467,445.916748293422,462.056450583511,431.167303186094,423.329831164401,497.418528620993,393.378242688495,386.610133602119,376.449183709331,405.15178457023,393.202797027606
"CEP76",151.566421367522,165.911382013947,144.351255056525,158.496108048995,131.596968466227,125.991021179881,196.305640057783,170.287897002738,111.467885235648,159.79883716641,167.223312745054,259.82224038883
"SPIRE1",415.926458636456,289.281384024317,345.156713823274,253.414681230879,283.521923931302,367.893781845253,281.149603133605,403.938732425099,279.375206033648,316.524619771927,427.597866817888,398.599698163279
