"","Eagle_002_null","Eagle_004_null","Eagle_006_null","Eagle_007_null","Eagle_008_null","Eagle_012_null","Eagle_013_null","Eagle_014_null","Eagle_015_null","Eagle_020_null","Eagle_021_null","Eagle_022_null"
"RBX1",7.69897058300111,7.60093772272553,7.63104902966114,7.77802329836406,7.52318463404376,7.49110951664823,7.9496157825553,7.93009427224898,7.6536332844923,7.47952888902388,7.83811811275323,7.94353170840792
"XPNPEP3",10.5616478702733,9.95203136979914,10.5836031653071,10.2320670515018,10.4068700213551,10.8058023047553,10.5426372286015,10.5513136941064,10.7389353467864,10.1936060851737,11.0150013362474,10.4451923039138
"ST13",11.1085980126312,10.9648774137144,12.3078965313908,11.510077771046,11.5917908739848,11.6364130920808,12.0577079735912,11.507663336912,11.2600891761583,11.9704196855349,11.6602645920945,12.9220217919574
"SLC25A17",7.91803653465696,8.16429389548075,8.52197340778945,8.22921802777597,7.97358377303138,7.96844920303345,8.41801896117001,8.53891524655519,8.20205065810512,7.99602296939734,8.18266479486092,8.10171302753525
"MKL1",9.83963400569269,10.3033562760242,9.70678035499371,10.8527056824803,10.1183571646135,9.39075415602605,10.2011072514907,10.3161220621079,9.42953460918126,10.5572690968063,9.90268126462629,11.0935515856509
"SGSM3",9.72212828408871,9.74160474046793,9.86439828592531,9.71892794628019,9.5088405235546,9.10412918499429,9.32528013375123,9.02542784964638,8.8661208549822,9.42429108750158,9.41413256447823,9.65309275335165
"ADSL",9.41087324186993,9.11826522263274,8.80846861539528,8.91515196908749,9.14441367702921,8.93618198173807,9.2484413784281,9.25783176497896,9.07869015624495,8.92414252488421,9.19958659216582,9.57503628825858
"TNRC6B",15.7570397408651,16.0360503532146,16.5235847491212,16.4239147861513,16.2725288421721,16.1991216906528,16.3538355603383,16.131519577671,15.946842193822,16.3996914931459,16.3420110846146,16.4634053474365
"FAM83F",4.43037468464679,4.30145648134064,3.79316583395679,3.85118669930921,3.40994027405394,4.71139602006073,3.83883652348566,3.68712239960861,4.55923324445762,3.81357413449306,3.85475863191865,3.24501559353426
"GRAP2",7.57110257022651,8.11201272091403,5.9647792401079,8.45215355424347,7.46321883795692,6.16098010823513,8.47309005366531,8.2508388176535,6.39657340037354,8.51237294039955,7.28427321523168,9.09502245523295
"CACNA1I",7.49327392069699,6.72317346570595,5.98119244869389,6.35034238563048,6.47137140058475,6.55816591424053,5.76116365554113,6.68151551918123,7.35105739587829,6.19410246462974,6.52209708262029,6.84681809546927
"RPS19BP1",10.7961101329827,10.2357412762551,10.7291827299109,10.4601080813833,10.4993444027071,11.1005070168719,10.4985247247067,10.6600627567796,10.835115410277,10.3914117824707,10.7035762546226,10.10283509057
"ATF4",11.1694754612982,11.1035431075537,11.5015679548317,11.36920918158,11.2509785970496,11.3918496365704,11.7241357668329,11.5596925283357,11.7420831825148,11.4554481289968,11.512917014042,11.141607538118
"MIEF1",10.7327747731454,10.3014121724757,10.5626245323216,10.5325434017947,10.8464445565034,10.9432325591683,10.9248816052238,10.5411247455576,10.8887082836691,10.3938852549447,10.8020829573204,10.0534474625922
"MGAT3",8.26793419758542,8.74757910541591,6.02934058486233,9.37814312600039,8.16857989344985,5.61107167264784,8.69200365373958,8.98465612398649,6.91807371888958,8.74457435640679,7.97311653881397,10.2360751103956
"TAB1",8.78082733253426,9.218511151598,10.2721176832185,10.5412389888374,9.24195965585782,8.87555462063625,10.5963338514373,9.1344931068739,8.93636294854424,10.0525301315366,9.08798039585449,9.30829216369555
"SYNGR1",7.46956062395188,7.93774174493969,7.8568555405212,9.49016396739321,7.03921599386905,5.53470806817066,9.1504835889177,7.26797675248001,6.32220235737526,8.35878441377418,7.11939151581927,8.51746194584497
"RPL3",12.2640567039232,12.0166967337853,12.975351362559,12.7999967088597,12.1875587421416,12.5814838360903,12.7914946081199,12.2290418657561,12.305550611388,12.6963723622337,12.5414734921939,12.4111066287481
"PDGFB",6.17159669093595,7.39757228001052,4.6608799076724,8.08917950698554,6.32502943679001,4.22023265986623,6.74780166683074,7.0264238394372,5.48351149161984,7.09784951593284,5.62231768533681,8.60290628605782
"CBX7",10.565008574814,9.82245888251506,10.8072044415271,10.0515115260603,10.474607604434,9.86624895642708,10.5474563844075,10.4044846626195,10.0294660795609,10.4424844849653,9.80107693496291,11.0766555921423
