"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZNFX1",2148.19660027601,0.911631306563414,0.237283294769602,3.84195317014875,0.000122059127900899,0.00842207982516203
"DUSP5",67.9957279588016,0.915288740962476,0.288496444046295,3.17261706288345,0.00151071641473321,0.0579107958981064
"HELZ2",3544.70265577404,0.918881448675111,0.228078756887989,4.02879014781013,5.60646356724419e-05,0.00455112924870411
"TNIP2",154.919839129087,0.92300535772878,0.222315319850183,4.15178476386957,3.29892450239739e-05,0.00296317597315931
"STC1",98.9153820792303,0.924637342873739,0.234177114554722,3.94845305286086,7.86578373961849e-05,0.00597012985837043
"GGT5",81.3157397768279,0.926575814213751,0.307698645759174,3.01130936708429,0.00260123679947109,0.0864043208226941
"SNX10",503.65041287928,0.927778566705413,0.197069565723146,4.70787340146072,2.50314473317095e-06,0.000328928642137802
"SMYD5",45.9663813754362,0.931207974558596,0.298675064633779,3.1177961765921,0.00182208766616279,0.0671888220906822
"REPS2",236.242057898894,0.935080136812845,0.308601479664735,3.03005720461456,0.0024450742321567,0.0821917980184992
"LOC104831304",84.4692373863037,0.938053395799318,0.294501954279995,3.18521959588585,0.00144644203289883,0.0565901805654748
"LOC104830344",157.797640319955,0.93927272421466,0.316855834658846,2.9643535686378,0.00303319561557347,0.0965281120427784
"FA2H",91.6387304791813,0.942663387805709,0.3072902229645,3.06766475910498,0.0021573849530159,0.0747696428921949
"LOC104841587",62.4535591447111,0.96557208362801,0.228199220473463,4.23126810698415,2.32377486369868e-05,0.00216410444361632
"LOC104840964",16.1849429611495,0.976379130220495,0.320551719652134,3.0459332156448,0.00231959351103399,0.0789493934921435
"LAMTOR4",12.7782398462876,0.982742300152905,0.301537268728804,3.25910725495349,0.00111763406571643,0.0475229275002114
"BNIPL",33.4630553170425,0.984888274106036,0.270223850186624,3.64471260928984,0.000267690764028788,0.0158114622488599
"LOC104832874",23.2382621072727,0.986002126416242,0.309855957099588,3.1821306120616,0.00146195872186254,0.0566636374866292
"SLC35F6",22.4798773865038,0.990474812288198,0.322417280504262,3.07202768641647,0.00212610004135652,0.0740233913481468
"LOC104836745",376.991424676117,0.991310584941049,0.315523504104689,3.14179632276186,0.00167914799703133,0.0630927390963752
"PIM3",100.460129434372,0.995398284860629,0.279817540418688,3.55731196611629,0.000374669109511076,0.0210647299347339
"LOC104836616",2118.42668682757,0.99784544595597,0.226995524948011,4.39588157601128,1.10324073282894e-05,0.00122242294338272
"LOC104836752",19.8743913592809,1.01244857134746,0.329155826180824,3.07589442694921,0.00209872141049245,0.0735764226588347
"LOC104829758",41.1746308670517,1.01737729734908,0.276205041800624,3.68341320171653,0.000230131668298387,0.0140735690884323
"CHAF1B",95.6662820061327,1.02103693407455,0.306194336192133,3.33460424765619,0.000854208750549141,0.0382504095378642
"LGR5",141.904322204429,1.02778394897979,0.334022704939972,3.07698828187293,0.00209103520883239,0.0734766538659158
"LOC104839125",274.330186843879,1.03227754547543,0.209570312706953,4.92568595304282,8.40649212542097e-07,0.000128899545923122
"CD58",1797.08497713548,1.03843669382389,0.264943195422089,3.91946919855604,8.87442013774265e-05,0.00653949988790939
"LOC104833242",44.4815732318142,1.04059734908013,0.323084611341096,3.22081991079893,0.00127824442549656,0.05202077849608
"S100A11",119.506363340759,1.04919802869044,0.332417593412582,3.15626503976348,0.00159803579115911,0.0609502093210936
"LOC104832084",28.1797027471892,1.05635000227825,0.326816328563314,3.23224364866335,0.0012282228264901,0.0503903310976208
"LOC104841201",94.0094923525938,1.06430839520784,0.340822633435252,3.12276325219474,0.00179161800672473,0.0663335642489789
"LOC104836982",31.610940134274,1.06645024279604,0.326995037274803,3.26136522341105,0.00110877127848849,0.0473065117822746
"LOC104829553",43.5439080432404,1.07088338404579,0.3198594888396,3.34798066466868,0.000814026904786064,0.0372196638995556
"LOC104828704",31.3943614152865,1.0727470833423,0.309314237549346,3.46814647732197,0.000524061552523214,0.0266062018973324
"DGAT1",62.9060802814366,1.07534525423074,0.291883473700841,3.6841594373133,0.000229458587918439,0.0140735690884323
"POU6F1",150.581272215692,1.08488180842257,0.240172677451679,4.51709086950924,6.26950055145162e-06,0.000755325542627267
"TRIM25",1012.11102413843,1.08869808231973,0.266333397621285,4.08772648133229,4.35621322886334e-05,0.00373600659966924
"DUSP1",370.713396767817,1.10389485920517,0.354716797059774,3.11204563289725,0.00185795777056217,0.0681251182539461
"ETS2",247.667160454712,1.11433350661979,0.3578273120211,3.1141656021888,0.00184465923575382,0.0678012765102736
"NFKBIA",1326.74762365216,1.14169283172536,0.265014481450069,4.3080394153497,1.64708038338874e-05,0.00159252740253764
"BIRC2",4756.73325044784,1.14189565556066,0.281625653342219,4.05465781262858,5.02077453565432e-05,0.00421079322934986
"ZBTB46",254.563264858947,1.15032276414623,0.324661816331179,3.54314152845378,0.000395390447146456,0.0219052079842453
"AMN",23.8238409784551,1.15179071398032,0.26296625657962,4.37999433448826,1.18682394551135e-05,0.00129611420811959
"SERPINB10",80.1880172862209,1.15217416344484,0.374800228622547,3.07410208280627,0.0021113717273713,0.0738493613398532
