"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MMP7",6.48702566953042,-3.60164281188443,1.06598744487453,-3.3786915870368,0.000728316644611595,0.0218451352925866
"CHRNA1",12.389034358238,-3.59755564252846,1.197710545399,-3.0036937191114,0.00266723686113384,0.0386418695666746
"KIF19",8.23574393067229,-3.59533593329646,1.37347628472012,-2.617690580678,0.00885270380605437,0.0695909855247234
"ASS1",61.3158101589963,-3.59384160359172,0.85609767532809,-4.19793407593874,2.69361013242331e-05,0.00527895180654196
"LOC104833306",8.86101875828628,-3.58193506122077,1.0051593571537,-3.56354943694074,0.000365873750049104,0.0161015067071819
"RTN4RL1",8.7864554854357,-3.57540003567392,1.30304323332081,-2.74388442704391,0.0060716910017792,0.0567658213635424
"ADRB2",7.87248216160791,-3.5743504488253,1.28140570945504,-2.78939794200341,0.00528061366612977,0.0526959151236745
"PLCD1",74.2739473689707,-3.5582474433762,0.860625931945817,-4.13448783181706,3.55747100650917e-05,0.0057565353917636
"PTHLH",10.1127822449998,-3.55662863218632,1.20064102740228,-2.96227477740076,0.0030537512785198,0.0410733452013699
"SDC3",17.7937796465847,-3.54279095517812,1.02706239798829,-3.4494408150054,0.000561748857003733,0.0197445677080355
"KIAA1377",46.2436144752018,-3.54236012820626,0.970608528719226,-3.64962806671461,0.00026262028452305,0.0141600098326282
"GALNT12",67.026889066701,-3.53412000388746,0.902323923597373,-3.91668658168529,8.97743398012074e-05,0.00874302320397315
"IFT27",9.40308891000404,-3.51492314619188,1.20669365692412,-2.91285458079848,0.00358141339852391,0.0444483861967815
"PCDH18",10.7822751486815,-3.51123807333368,1.22947637059195,-2.85588089150762,0.00429176103800758,0.0484402251235931
"AATK",10.6283769293377,-3.49536528403321,1.13559508999358,-3.07800316753128,0.00208392700009523,0.0355412823377824
"LOC104840948",17.8955966808185,-3.48649037450538,1.32284676329369,-2.63559655679584,0.00839895260445917,0.0678496032977738
"RBM47",11.5919585820987,-3.48528518350677,1.04250434843749,-3.34318527182217,0.000828225835037693,0.023120981555693
"RAB39A",10.9657642981754,-3.47516948317538,1.31410814382507,-2.64450798779767,0.00818097757455145,0.0670152041504144
"HPGDS",105.601090222189,-3.46819612746879,0.682575963522688,-5.08104051828879,3.75373033618272e-07,0.000881276856516909
"SERINC2",31.5797856424579,-3.46125741666163,0.969725003293252,-3.56931852319675,0.000357911049413959,0.0158994251999856
"SQLE",26.8691954097038,-3.45784826958941,0.847645006448407,-4.07935898080451,4.51600546387193e-05,0.00623132213539691
"RASEF",9.73716449014782,-3.4513526560405,1.31298797738732,-2.62862472123183,0.00857309115786177,0.0684179292141197
"LGI3",6.57326628520449,-3.44616405013711,1.22744836359553,-2.80758372600079,0.00499147026050596,0.0516817909361481
"BMPER",194.629149224754,-3.44069330105659,0.790458908937517,-4.35277945779793,1.34422358253065e-05,0.00371730669710063
"LOC104830599",2.13537911840551,-3.43149453800081,1.32539472941548,-2.58903590141344,0.00962450596216011,0.0733775557037226
"MXRA5",19.4002389732353,-3.42973431205268,1.04320393987231,-3.28769302047736,0.00101011917853731,0.0251367529297746
"LOC104842111",9.3701622845976,-3.42832723027134,1.36298352687668,-2.51531083293974,0.0118927479756106,0.0813844653269176
"ALX3",9.33250247311799,-3.42507774287144,1.423801655077,-2.40558629122131,0.0161465381906813,0.0962182337295697
"PTGDR",5.99407936581619,-3.42210285707335,1.2585802662902,-2.71901836436729,0.00654759727675169,0.0588212276721339
"LOC104840233",9.08308815024019,-3.41463145261353,1.34277399706695,-2.54296810935584,0.0109915260533585,0.078308279202925
"LOC104837005",6.60700060139919,-3.40138213711137,1.34551710155991,-2.5279367561869,0.0114735017746481,0.0796030947663251
"LOC104833009",9.99605531191392,-3.385938443585,1.20870369198316,-2.80129734528203,0.00508975977703756,0.0520209707804471
"MAP3K6",19.8016818150622,-3.38363753616389,0.956074808725614,-3.53909286729775,0.000401504577543146,0.0169126872828204
"NR2F6",12.449300025999,-3.37893045529248,1.10876059086986,-3.04748426586986,0.00230765606784085,0.0371130374947248
"PVALB",17.1568216152865,-3.37491478748866,1.071361054295,-3.15011897619284,0.00163203984978113,0.0308737322661833
"PNP",13.8347076131189,-3.37256167620077,1.21027061380251,-2.78661783384514,0.0053261250253848,0.0528492292613182
"ERBB3",12.4390762236,-3.37173050168736,1.39863556044401,-2.41072842493506,0.0159206982783225,0.0956105090994439
"MBOAT4",13.9260584231627,-3.36925340414636,1.187451386262,-2.83738218096868,0.00454851304918506,0.0494789644231152
"CECR6",6.7997710219773,-3.36326874633729,1.30751091914114,-2.57226819072877,0.0101034591147993,0.0750782223838486
"LOC104832719",13.3316644025712,-3.36206653604987,1.17227585233202,-2.86798242014599,0.00413098486310604,0.0480935815653178
"STC2",8.7501853151778,-3.35893323472124,1.22926645636004,-2.73246961010171,0.00628614703685307,0.0576737031904048
