"","Eagle_002_lps","Eagle_004_lps","Eagle_006_lps","Eagle_007_lps","Eagle_008_lps","Eagle_012_lps","Eagle_013_lps","Eagle_014_lps","Eagle_015_lps","Eagle_020_lps","Eagle_021_lps","Eagle_022_lps"
"NPTXR",7.20759395011348,1.12799632601573,0,2.25499891922014,2.28607157744315,3.10898085354029,1.46959927807591,1.10163366589234,1.64248254398873,2.91653096565945,3.33323881913303,1.40746260748586
"DNAL4",6.21732159223683,5.26095987652785,4.93751153990108,5.52324251673497,5.57067993199063,6.12204234541702,5.14992051643717,6.07610121613961,6.10653323972447,5.07687635620772,5.22167730093857,5.64869218664144
"LOC104828617",6.41305631615606,3.58090965586946,3.98383955994656,3.92814164886847,3.65898684984592,4.72387323188932,4.22454166340006,4.64763038207935,4.45065627351459,4.11900008345121,3.91379873071757,4.0618339796147
"SUN2",7.28332706919821,7.59732155385559,7.80301145387007,7.5584661923067,7.89186268973463,7.58265552948667,7.62504325569019,7.33482372977973,6.90913855823016,7.74068636609234,7.62610346907828,7.51083570189238
"GTPBP1",8.26274027306868,8.96953636115811,9.41532273903182,9.09072548424584,9.20541176334632,9.00016296954564,9.287091264101,9.0970586106242,9.1736364786529,9.26080566658155,8.73585206137422,9.25271434621642
"JOSD1",7.37024502185981,8.55318296785584,8.28659137863315,8.74916523559878,8.73321951301681,8.63532599305039,8.76619718019441,8.83636059535091,8.94324450897053,9.04520782325003,8.4829822724621,8.84171670804815
"TOMM22",5.76788480573435,6.36124495427259,6.23091148868418,6.82806878397216,7.24994996497244,7.08487794166699,6.79058796943861,7.01512805813535,7.17582820598529,6.89366699261408,6.78657587899088,7.00754568550432
"CBY1",5.26887922283416,0.917746753147962,0,0.367658319719289,0,0,0,1.10163366589234,1.04335359873226,0,1.49351495434788,1.16319373102183
"DMC1",7.1217815732127,5.8556507984683,6.23091148868418,6.49359707966538,5.73722818718818,5.08973084644004,6.28486678948728,5.58451156378809,6.17168462535834,6.31475835341867,5.05438893540385,4.99946620547035
"DDX17",9.6861771532798,12.7969867408743,12.7447249264932,12.8868572619763,12.8428361734011,12.6255495324649,13.0418836171043,13.0477148561694,13.1272627224351,13.0725720853716,12.7316173625192,12.7957374816451
