GeneID,Eagle_002_null,Eagle_004_null,Eagle_006_null,Eagle_007_null,Eagle_008_null,Eagle_012_null,Eagle_013_null,Eagle_014_null,Eagle_015_null,Eagle_020_null,Eagle_021_null,Eagle_022_null
SMARCB1,2489,1796,2404,1709,1507,643,1110,1051,2082,1877,1478,1557
MMP11,14,10,4,8,8,4,1,2,15,12,10,4
CHCHD10,108,40,66,32,50,17,21,36,86,57,49,69
LOC104837040,17,2,6,2,4,3,10,6,8,5,6,7
VPREB3,2,2,2,6,1,2,2,0,2,1,1,2
LOC104837047,34,62,75,52,31,16,22,7,28,41,21,16
LOC104836802,11,8,6,14,5,7,0,5,5,14,2,2
FREM3,159,176,73,79,99,47,53,53,222,92,38,148
HHIP,253,146,115,95,89,61,50,81,176,115,97,103
ANAPC10,1152,845,853,444,589,251,325,449,933,725,539,554
ABCE1,6716,4984,6538,4321,3587,1772,2289,2773,6218,4826,3276,4580
OTUD4,6234,4912,9853,6378,4803,2220,3154,4208,6340,7652,5953,5324
SMAD1,1345,1627,369,1622,455,52,527,722,349,1353,289,4280
MMAA,306,222,263,221,136,56,125,187,257,254,173,418
ZNF827,394,285,195,214,144,49,68,138,227,221,89,351
LSM6,48,30,60,43,15,13,10,12,24,31,12,35
SLC10A7,1637,1072,1093,1080,507,297,417,685,665,1093,655,1189
POU4F2,0,2,0,2,0,0,0,1,0,3,0,2
TTC29,211,141,56,49,62,39,21,35,138,47,52,78
EDNRA,71,34,17,20,28,12,9,8,52,19,6,14
TMEM184C,333,174,241,205,141,109,120,154,210,190,186,203
PRMT9,1364,1002,1490,1043,775,407,664,720,1370,1198,1046,815
ARHGAP10,901,597,246,431,257,68,230,330,326,463,200,767
NR3C2,1074,764,694,519,407,278,219,320,562,629,344,1226
DCLK2,413,126,67,103,114,59,37,145,222,87,117,346
LRBA,2154,1587,635,1242,812,208,554,939,875,1517,493,2653
MAB21L2,0,0,0,0,0,0,0,0,0,0,0,0
PPM1K,838,565,604,484,335,149,191,359,379,638,379,1009
WDFY3,3337,2631,1821,1233,755,203,402,838,918,1848,1073,2435
LOC104837250,39,10,7,7,0,4,1,15,31,9,25,32
CDS1,74,38,23,9,22,22,5,26,46,21,32,46
NKX6-1,1,1,1,1,1,1,0,0,4,0,1,1
LOC104837352,0,0,0,0,0,0,0,1,0,0,0,0
TNFSF11,82,54,32,54,38,8,38,41,34,80,23,89
AKAP11,2174,1700,2467,1394,1237,573,1162,1264,1912,2323,1543,2583
DGKH,1005,1010,436,885,297,55,331,739,315,838,383,2552
