GeneID,Eagle_002_null,Eagle_004_null,Eagle_006_null,Eagle_007_null,Eagle_008_null,Eagle_012_null,Eagle_013_null,Eagle_014_null,Eagle_015_null,Eagle_020_null,Eagle_021_null,Eagle_022_null
MAN2A2,993,611,1110,801,749,222,277,457,1071,807,681,673
FES,343,199,136,190,119,21,43,82,112,132,71,269
FURIN,5137,3180,4807,5746,5136,1474,1953,1768,5691,4415,3071,2821
MFAP1,1357,915,1488,1152,1112,468,540,596,1406,1259,917,922
HYPK,284,155,272,203,173,50,119,177,315,231,169,198
SERINC4,10,15,5,7,19,3,5,5,12,6,9,9
PDIA3,2655,1449,2720,1645,1230,587,879,1073,1835,1751,1541,1809
STRC,13,6,1,1,5,2,2,1,10,12,3,7
CKMT1B,11,2,4,4,3,0,2,7,4,2,5,8
PPIP5K1,296,176,123,173,95,42,51,117,105,189,121,232
MAP1A,233,139,52,97,54,14,39,52,101,99,58,195
TP53BP1,1507,840,1351,964,879,405,464,578,1002,910,858,857
TUBGCP4,423,250,389,291,178,93,108,168,193,271,210,241
IQGAP1,2047,1692,1021,1410,689,71,591,970,481,1527,605,2990
LOC104834663,141,119,163,99,78,31,59,112,145,107,99,150
LOC104834768,114,76,63,43,52,32,33,44,91,79,60,57
LOC104834851,59,33,121,47,40,16,20,18,48,91,25,32
LOC104834770,1237,436,1093,466,508,351,142,757,975,1224,757,1557
ZC4H2,0,0,0,0,0,0,0,0,0,0,0,0
LAS1L,4416,3131,4862,3477,2617,1244,1719,2166,3842,3985,2921,3401
ZC3H12B,0,0,0,0,0,0,0,0,0,0,0,0
LOC104834773,72,28,39,22,31,27,35,13,64,35,47,34
MSN,3388,2394,2039,2278,1167,171,917,1405,797,2359,1029,4575
LOC104834852,26,25,20,28,11,6,14,9,16,36,12,51
LOC104834775,1272,666,700,563,453,202,276,296,486,475,366,769
LOC104834776,3083,2531,1715,3009,1153,139,765,1140,568,2327,1015,4312
LOC104834853,130,118,46,137,29,6,34,49,39,109,62,186
LOC104834777,1777,1340,1568,673,358,93,173,417,369,683,491,1266
LOC104834778,4209,3607,6734,4774,2984,1333,2540,3329,5361,5402,3607,4056
HEPH,2550,2903,8542,9623,3273,598,3321,3285,3926,8893,2626,6914
LOC104834780,117,152,352,459,171,30,122,115,226,399,102,373
LOC104834854,11,12,7,10,5,2,3,8,10,8,5,18
EDA2R,13,13,4,10,8,1,6,6,11,15,5,35
AR,451,212,147,80,154,55,54,98,260,178,109,254
OPHN1,3223,2458,2907,3204,1968,661,1499,1895,2549,2936,1724,4119
YIPF6,3221,2190,3002,1969,1929,978,1361,1517,3225,2625,1939,1973
STARD8,1202,772,653,667,691,267,502,386,1106,903,600,772
LOC104834858,100,62,38,29,39,21,13,28,68,38,31,67
EFNB1,507,305,550,403,318,128,122,129,492,292,227,238
FAM155B,23,9,6,3,12,6,0,10,24,14,23,30
EDA,233,119,61,87,81,31,21,62,164,93,51,196
LOC104834785,127,120,25,216,62,3,52,81,49,160,48,461
LOC104834861,78,80,13,208,71,2,37,89,41,97,35,300
IGBP1,2131,1406,2582,1779,1475,643,956,1076,2139,1803,1415,1481
LOC104834787,21,4,5,8,9,8,6,4,25,9,11,15
P2RY4,8,4,1,2,2,6,7,2,6,0,2,2
LOC104834863,73,38,6,133,65,0,40,57,23,97,27,211
ARR3,23,11,6,3,14,4,5,9,19,11,9,13
RAB41,3181,2665,4004,2855,2181,868,2203,1870,3356,3725,2340,2573
LOC104834864,238,134,274,162,205,82,156,119,282,272,168,195
PDZD11,38,22,27,23,26,6,19,16,28,24,14,17
KIF4A,580,335,494,317,424,141,401,202,609,568,275,418
TAF9B,1134,826,1194,759,645,351,452,508,1227,715,712,672
LOC104834865,52,34,32,51,35,22,22,26,37,35,39,48
LOC104834793,3540,2648,3625,2388,1867,842,1363,1793,2898,2819,2356,2357
CYSLTR1,54,40,26,22,10,0,8,6,11,17,3,22
LPAR4,77,67,46,21,13,4,3,14,28,15,14,67
LOC104834795,378,215,146,249,123,18,138,130,82,213,68,517
LOC104834797,77,52,18,99,42,10,31,36,30,51,27,145
GPR174,544,439,266,523,315,87,236,266,276,497,232,953
ITM2A,20352,14645,23086,15466,11234,6609,9607,10084,20315,17409,14719,15705
TBX22,20,8,7,4,1,7,2,9,14,10,2,12
CHMP1B,2116,1554,2603,1665,1443,638,947,1048,1935,2114,1268,1615
FAM46D,24,16,9,3,4,1,4,2,9,9,4,7
BRWD3,16986,14913,20975,13792,11070,5138,7351,10161,16768,15154,11463,16021
HMGN5,108,96,152,94,90,36,50,57,97,112,58,75
SH3BGRL,3356,3341,1635,4056,1428,191,1344,2309,1062,3534,1330,7676
LOC104834804,605,408,466,320,330,158,261,194,447,462,319,441
LOC104834869,62,58,58,20,40,12,23,26,65,60,25,89
LOC104834805,24,15,10,9,15,10,1,6,14,7,9,14
RPS6KA6,4136,3410,3867,2449,2135,865,1926,2039,3473,3631,2562,3852
HDX,182,178,71,119,100,28,65,136,122,202,91,343
APOOL,541,416,725,423,331,131,210,345,478,605,360,511
ZNF711,4264,3060,4047,3020,2424,1164,1939,2532,4150,4337,2896,4768
POF1B,534,375,316,351,275,93,252,307,364,411,257,810
CHM,3917,3149,4176,2733,2616,1169,1553,2291,3865,3828,2894,2369
DACH2,969,520,308,233,227,135,90,174,504,306,143,343
OLIG3,0,0,0,0,0,0,0,0,0,0,0,0
KLHL4,98,64,38,21,28,12,8,20,61,40,21,35
PCDH11X,245,122,72,61,52,37,21,35,151,57,51,63
LOC104834812,152,93,40,96,84,19,38,104,88,77,55,737
LOC104834813,205,146,58,133,99,45,89,97,132,165,79,682
DIAPH2,16330,14734,12851,14438,8470,2283,6780,10743,9412,18165,9327,29732
PCDH19,89,34,35,16,24,14,7,14,66,29,35,43
TNMD,8,5,7,4,2,0,1,2,9,10,5,7
TSPAN6,14,11,5,13,1,6,4,8,10,4,6,7
SRPX2,4,2,1,0,3,0,0,2,3,4,2,3
SYTL4,35,9,17,17,18,1,5,4,15,21,14,27
TRMT12,51,25,29,46,46,11,10,23,48,32,32,13
CSTF2,749,485,666,739,572,200,241,286,730,558,397,320
NOX1,58,37,7,62,21,1,18,20,15,56,25,116
XKRX,71,65,10,132,52,6,32,43,27,71,25,156
ARL13A,6,3,1,1,1,0,0,1,3,2,1,2
ATP11C,8126,5873,9450,5626,4921,2378,3493,4547,8733,7109,6416,6609
MCF2,79,43,26,17,26,13,9,12,64,29,26,30
F9,40,9,5,11,14,3,0,4,18,3,7,19
FGF13,264,125,64,58,64,43,17,55,155,66,61,91
ZIC3,1,2,0,1,0,2,0,1,0,1,2,3
LOC104834825,4934,4020,5725,3843,3351,1328,2336,2808,4390,5060,3431,4780
RBMX,3567,2529,3536,2860,2109,908,1858,1598,3430,3193,1905,2557
ARHGEF6,797,556,283,539,413,119,327,333,446,557,289,895
CD40LG,26,18,10,28,20,5,16,16,20,26,4,35
VGLL1,169,99,98,59,91,70,78,66,159,116,85,121
HTATSF1,17145,10886,21331,10687,9711,5309,5390,7846,16945,14624,11966,10113
BRS3,8,1,2,3,2,5,0,2,11,4,6,6
GPR112,64,22,21,13,18,10,4,17,39,18,13,29
MAP7D3,733,573,405,539,244,43,224,348,144,564,226,1089
FHL1,29,13,12,13,13,5,7,12,7,14,6,33
SLC9A6,199,167,125,201,102,33,92,141,140,187,93,237
MMGT1,470,243,373,250,240,93,179,205,401,291,258,216
LOC104834835,2749,1913,2756,1985,1565,657,1125,1301,2293,2334,1508,2838
MOSPD1,1933,1454,2111,1495,1144,609,876,1037,2038,1920,1461,1639
LOC104834837,136,105,59,116,60,11,84,95,55,128,45,298
FAM122B,1463,995,1420,1040,795,398,582,790,1288,1079,1030,1195
LOC104834839,255,311,70,423,153,17,143,189,107,393,149,779
HPRT1,563,340,219,453,211,42,145,306,150,434,231,771
PHF6,2092,1503,2166,1509,1110,586,736,952,1716,1820,1433,1237
GPC3,294,143,65,77,103,44,26,47,223,84,80,138
GPC4,109,56,37,32,29,11,11,24,75,35,32,66
HS6ST2,6501,5900,7041,6274,4100,1533,2365,3601,3379,8542,5546,10905
MBNL3,9992,7695,8571,7798,5110,2020,3629,6033,7594,8230,6144,13193
RAP2C,2592,1571,2361,1528,1397,715,936,1174,2143,1827,1371,1274
FRMD7,33,14,9,3,9,14,6,2,26,11,10,14
STK26,10407,7329,11170,6672,5342,2681,3822,4606,8291,8733,6488,8337
IL13RA1,288,226,80,97,75,11,31,51,34,104,46,184
DOCK11,4033,4114,3494,3016,1449,429,1106,2093,1638,3730,2010,5686
WDR44,6221,5154,9055,4379,4233,2066,2823,4120,6827,6803,4885,6283
KLHL13,1702,948,1368,812,865,275,441,634,785,1453,805,1297
LOC104834850,7675,6084,11679,6952,6890,3112,3719,3159,7204,8923,4270,7172
LOC104834888,106,72,140,135,130,24,43,42,126,117,63,160
SART1,1095,609,1047,874,794,263,356,449,1106,777,712,700
SF3B2,914,563,666,742,623,207,241,349,671,668,469,544
LOC104834891,11322,12800,13934,117071,191073,3874,7911,13923,33596,52592,13637,36251
LOC104834893,66,55,24,107,66,4,26,26,26,49,17,158
FRMD8,442,280,753,649,348,141,263,312,493,510,296,357
LOC104834892,20044,12985,18082,17099,9782,4703,8798,15377,16602,19161,11605,28185
LOC104834897,209,163,42,226,132,11,136,189,64,379,84,567
DAD1,554,470,543,581,498,118,269,279,435,542,308,558
LOC104834898,23,19,11,14,6,5,12,9,11,12,8,24
LOC104834899,36,25,13,8,15,7,2,10,37,15,14,12
LOC104834901,8,6,1,1,3,0,1,1,6,5,1,3
LOC104834902,3125,2398,3743,2544,1882,1030,1270,1584,3279,2990,1447,1759
TAP2,458,402,507,566,387,163,198,241,501,480,245,257
TAP1,477,529,567,616,504,169,246,213,450,639,201,272
LOC104834905,5,3,0,2,1,0,1,2,3,5,0,1
LOC104834909,21,10,12,5,8,1,2,1,3,6,4,13
ILF3,1897,1133,1446,961,991,453,721,696,1428,1253,890,1115
SLC44A2,3196,2122,3801,2728,2038,648,1078,2038,2661,2471,2655,2159
AP1M2,14,5,16,9,2,1,0,5,5,5,6,5
ATG4D,112,51,90,99,88,20,37,32,103,90,60,89
LOC104834912,9,3,3,0,1,0,1,4,4,5,6,7
LOC104834913,13,7,7,1,3,4,2,3,6,5,7,13
LOC104834914,1,1,0,0,1,0,1,0,3,0,1,0
LOC104834915,1,0,0,0,0,0,0,0,1,0,0,0
LOC104834916,1,0,0,0,0,0,0,2,2,0,0,1
RAB39A,13,4,3,7,1,3,1,3,11,1,2,6
CUL5,4066,2818,4024,2523,2268,1151,1488,2202,4073,3364,2686,2506
ACAT1,756,501,702,551,371,179,283,405,584,594,521,666
NPAT,1982,1244,2008,1185,1070,512,692,853,1745,1508,1094,1298
ATM,7076,5024,7895,4778,3911,1855,2691,3871,6121,6107,4452,5053
KDELC2,67,52,22,57,29,5,24,32,31,44,13,84
EXPH5,140,89,21,101,50,10,32,35,31,95,30,114
DDX10,9912,6020,8316,5412,4730,3113,3278,5749,9723,7138,6770,5660
LOC104834924,1,1,0,0,0,0,0,0,1,0,1,2
LOC104835015,51,58,23,51,32,4,20,47,33,49,15,67
LOC104834927,41,71,18,66,43,0,13,40,37,58,13,60
LOC104834926,106,129,49,118,88,13,33,92,73,106,44,161
LOC104834925,51,59,12,69,36,4,27,32,18,50,21,51
ZC3H12C,328,276,88,193,134,16,89,137,100,214,55,339
RDX,6629,5289,7802,4166,4009,2243,3139,4514,7177,6479,4734,5718
LOC104834931,76,46,101,48,36,20,39,39,86,77,46,125
FDX1,2628,1697,2577,1658,1313,632,1032,1447,2614,1954,1874,2038
ARHGAP20,120,75,23,30,30,22,4,24,61,29,35,50
RNF17,129,67,40,24,41,22,4,17,77,26,16,25
CENPJ,191,123,148,102,85,51,43,84,99,114,93,142
MPHOSPH8,5834,4623,5721,4326,3555,1785,2912,3024,5390,5252,3740,5085
PSPC1,13946,8776,11217,7515,6786,3807,5126,7508,11640,10987,8584,13441
ZMYM2,5148,3875,5478,3889,2841,1367,2172,3227,4439,4843,3248,6677
GJA3,1,1,1,0,0,0,0,0,2,1,3,0
GJB2,5,2,1,5,0,0,0,0,1,2,0,0
LOC104834940,2,4,5,2,3,1,1,6,4,9,1,0
CRYL1,235,160,67,86,94,34,49,82,91,120,58,205
IFT88,157,87,43,68,42,16,21,46,67,70,18,101
N6AMT2,23,10,9,5,9,5,3,12,20,11,12,26
XPO4,1123,750,1029,881,537,264,369,607,783,935,830,925
LATS2,7004,4802,6691,4767,3864,1585,2602,3009,5514,5634,4318,4531
SAP18,9287,5925,9795,7115,6351,2748,3110,4225,8678,7749,5614,5289
SKA3,155,123,183,121,119,71,93,79,173,171,127,96
MRPL57,738,427,661,435,385,193,215,279,534,538,405,362
ZDHHC20,2289,1702,1549,1961,1184,451,920,1405,1566,1858,1190,3192
MICU2,10728,9601,14051,8678,6634,2950,4997,8018,12345,13609,7774,10617
FGF9,68,42,15,14,14,7,11,15,37,25,17,28
SGCG,205,76,53,48,34,25,11,27,107,50,34,44
SACS,207,112,39,102,50,11,50,79,64,104,37,195
TNFRSF19,129,56,34,22,41,21,16,27,78,34,18,36
MIPEP,4422,2425,6001,3357,2898,1218,2465,3428,4903,6857,3901,3465
LOC104835022,30,19,21,19,17,6,14,6,23,25,17,15
SPATA13,78,50,25,24,19,10,6,8,77,21,20,30
AMER2,8,5,0,4,0,1,8,2,1,5,4,6
MTMR6,3317,2643,3920,2584,2315,1108,1643,1906,3707,3134,2474,2228
NUPL1,3724,2385,3325,2273,1954,1017,1428,1615,3196,2885,2198,2382
SHISA2,16,10,2,18,17,1,10,5,4,24,1,27
ATP8A2,847,599,509,316,321,182,207,339,701,550,298,564
RNF6,1206,1195,1572,1066,791,452,751,1091,1518,1485,1152,1185
CDK8,2677,2452,2447,1839,1640,793,1101,1700,2999,2353,1909,1798
WASF3,160,181,44,57,38,21,23,45,97,60,48,95
GPR12,1,1,2,0,0,0,0,0,0,4,1,0
USP12,497,393,295,243,212,80,127,145,225,353,202,425
LOC104834966,76,18,26,12,35,24,22,24,74,30,27,34
RPL21,27570,21361,40488,22705,20549,10650,11565,12539,29656,28653,18439,17058
RASL11A,36,25,26,23,10,7,22,8,27,21,10,17
GTF3A,468,322,506,296,225,112,94,129,316,290,290,180
MTIF3,56,41,63,37,19,14,16,44,42,45,33,64
LNX2,107,50,35,37,41,11,11,44,68,63,30,104
POLR1D,764,607,843,543,425,240,352,445,781,722,561,508
PDX1,77,28,26,23,22,7,7,27,66,20,16,49
FLT3,76,43,28,44,29,14,26,23,67,45,27,43
PAN3,22097,20405,28196,20282,16859,6766,12308,12588,21775,23335,15180,20753
FLT1,271,162,109,75,113,43,83,48,226,144,85,167
POMP,4803,3744,5546,3734,3108,1894,1905,2571,5362,5069,3465,3702
SLC46A3,11258,6975,12415,7048,6144,4123,4054,6579,12455,10012,8685,9093
MTUS2,400,241,142,103,115,101,42,100,352,166,133,228
SLC7A1,1264,875,1613,1218,725,151,828,824,1160,1261,740,1399
UBL3,733,623,470,460,380,132,273,293,383,784,279,845
KATNAL1,116,102,20,35,37,19,17,31,53,63,25,100
HMGB1,3126,2085,2767,1972,1365,722,1126,1751,2405,2125,1895,3204
USPL1,564,409,356,429,210,67,197,256,286,501,241,782
TRNAV-AAC_3,0,0,0,0,0,0,0,0,0,0,0,0
TRNAN-GUU_8,0,0,0,1,0,0,0,0,1,0,0,0
ALOX5AP,654,439,464,256,134,20,97,114,92,279,112,382
HSPH1,1507,749,1583,839,793,463,884,550,1272,1113,969,1312
B3GALTL,309,179,105,137,100,50,61,108,149,189,108,342
RXFP2,43,34,17,13,19,10,6,12,26,13,11,18
FRY,744,327,263,242,158,103,68,118,288,292,135,326
ZAR1L,1,1,0,0,0,0,0,1,4,1,0,1
BRCA2,718,520,846,632,613,210,454,493,803,570,408,551
N4BP2L1,5372,3398,6408,4932,4460,1668,3754,5143,7160,4680,4505,5075
N4BP2L2,3390,2207,3382,2166,2228,1023,1695,1793,3552,2868,2454,3123
PDS5B,3173,2112,2051,2229,1507,550,1289,1623,1938,2617,1727,4053
KL,110,63,39,49,34,22,3,21,57,35,20,44
STARD13,302,150,76,63,89,38,19,36,191,86,51,105
RFC3,235,234,407,224,193,57,99,135,164,250,162,176
LOC104835033,35,17,8,7,16,4,1,8,27,14,10,8
NBEA,1421,720,348,350,409,248,118,209,792,392,236,359
MAB21L1,0,0,0,0,0,0,0,0,0,0,0,0
DCLK1,597,395,283,169,201,120,57,115,368,209,145,201
LOC104835034,272,222,110,172,124,33,53,110,73,292,97,142
SPG20,4227,3259,5822,3468,2699,993,1783,2185,3656,4767,3399,2206
CCNA1,13,7,6,4,5,1,3,2,2,5,2,7
SERTM1,5,10,1,2,0,0,0,3,2,3,3,5
SMAD9,74,35,29,18,22,13,11,15,50,32,13,39
ALG5,1339,942,1334,831,780,382,499,637,1088,954,816,780
EXOSC8,2332,1605,2387,1776,1321,680,974,1109,2218,1964,1644,1471
SUPT20H,5590,5012,7289,4767,3918,1861,2624,3098,5279,5526,3642,3855
POSTN,90,57,18,31,29,19,7,16,74,30,18,61
TRPC4,243,122,60,55,57,32,9,30,141,73,41,54
UFM1,2109,1530,2190,1292,1190,682,884,1116,2076,2099,1572,1266
FREM2,328,161,90,68,102,50,27,34,196,83,52,89
LOC104835008,136,60,41,41,50,26,27,17,108,54,51,63
STOML3,121,75,82,67,91,49,45,54,131,102,91,108
PROSER1,3513,2365,3608,2768,2332,1134,1373,1858,3604,2988,2631,1985
NHLRC3,1745,1108,1560,997,924,488,637,819,1775,1282,1103,969
NPAS4,19,9,8,6,16,5,9,5,16,12,7,12
LOC104835039,2,0,5,2,12,4,6,3,9,11,3,9
B3GNT1,9,5,11,16,15,2,6,9,18,19,8,13
AHNAK,2388,2155,510,2135,700,34,692,1270,507,2055,670,5704
EEF1G,2850,1277,2318,1549,1269,767,747,1175,2479,1718,2040,2413
INTS5,245,108,185,240,221,64,83,91,299,183,136,128
LOC104835043,73,19,13,50,29,2,14,40,28,49,21,32
LOC104835044,26,15,17,17,27,1,10,7,20,7,3,3
LOC104835045,41,25,15,18,30,7,30,17,25,17,9,19
LOC104835046,45,45,34,30,23,2,18,7,18,47,26,58
LOC104835050,60,65,33,146,69,18,35,52,73,98,43,155
LOC104835048,0,0,0,0,0,0,0,0,0,0,0,0
STIP1,2672,1462,3621,2661,2249,836,1496,1326,3042,3221,2014,3405
OTUB1,656,307,589,579,511,149,191,269,515,479,331,518
PRRT1,3,1,1,3,1,0,1,2,0,3,0,7
LOC104835053,63,35,39,63,48,16,22,38,56,54,53,42
LOC104835054,66,27,59,67,38,17,18,24,64,61,29,50
LOC104835055,201,129,192,195,190,56,63,78,207,195,109,182
LOC104835056,23,14,19,31,29,7,13,7,19,17,8,20
LOC104835057,14,10,6,12,6,2,5,6,3,9,7,20
LOC104835059,23,6,6,7,7,4,3,8,16,10,8,10
LOC104835060,4,0,0,0,0,0,0,0,1,0,0,0
LOC104835061,2043,1263,2459,2680,1461,382,903,766,1721,1941,1514,1524
LOC104835062,2417,1568,2902,2273,2296,642,821,992,2416,2500,1534,1717
LOC104835063,391,218,518,345,349,97,155,190,406,442,311,315
PIP4K2C,288,195,333,289,189,73,91,116,333,233,124,148
DTX3,100,43,96,58,50,19,15,27,102,52,66,60
OS9,1324,1000,1584,1409,1025,400,557,709,1367,1256,847,1117
AGAP2,135,93,58,125,73,3,35,47,31,145,35,203
SLITRK3,3,1,3,0,5,2,0,2,2,1,2,1
BCHE,2430,2202,2186,495,424,57,208,500,484,872,710,846
ZBBX,65,40,19,12,20,16,3,17,39,26,14,14
PDCD10,2340,2116,3288,1999,1687,688,1150,1378,2626,2429,1657,2244
SERPINI1,510,502,382,477,248,107,220,320,341,576,284,803
LOC104835195,64,83,32,68,34,15,25,52,61,70,36,144
GOLIM4,255,277,136,256,117,27,105,158,89,282,88,503
LOC104835196,470,245,124,107,107,69,43,66,277,149,94,147
MECOM,403,273,138,186,151,74,90,187,306,253,143,226
LOC104835197,369,185,109,93,110,55,26,63,240,103,76,113
TRNAV-AAC_4,9,5,11,2,1,0,0,3,4,6,4,2
MYNN,6164,3880,7605,4858,3495,1400,2679,3242,5636,6187,4004,4640
LRRC34,93,69,49,44,64,25,59,42,116,64,45,80
LRRIQ4,24,12,19,14,12,5,17,7,21,3,8,22
LRRC31,66,52,51,44,46,16,30,33,68,29,30,57
SAMD7,73,32,52,46,44,15,45,28,77,31,37,57
SEC62,2507,2154,3201,2239,1584,671,1452,1531,2369,2706,1759,2435
GPR160,56,40,18,21,13,7,8,16,16,16,15,40
PHC3,11264,6840,10030,7787,7088,2952,4508,4830,9386,9617,7082,8311
PRKCI,2558,1850,2696,2041,1633,807,1279,1320,2468,2169,1632,1814
SKIL,294,214,344,209,147,36,119,133,130,299,120,318
CLDN11,21,8,4,2,4,2,1,4,15,2,4,9
SLC7A14,27,17,8,7,9,8,2,7,11,9,12,9
RPL22L1,657,639,1286,691,535,230,452,318,736,861,489,578
EIF5A2,1127,767,1504,822,631,331,541,839,1532,1057,873,961
SLC2A2,28,9,10,6,9,7,7,8,23,9,9,17
TNIK,6712,4585,7634,5293,4294,1088,2914,4076,5250,6964,4013,6633
PLD1,1804,2005,2543,1860,1048,347,1361,2163,2223,2518,1703,2027
TMEM212,8,4,5,1,3,1,2,1,5,2,2,5
FNDC3B,1432,1963,626,2512,792,77,653,761,553,1939,581,3115
GHSR,13,8,2,5,3,1,0,4,11,5,4,8
TNFSF10,13,11,2,6,7,3,3,5,19,3,5,15
NCEH1,495,433,221,226,113,28,121,149,140,282,176,320
ECT2,146,74,88,89,50,21,62,45,72,77,46,95
SPATA16,176,94,46,50,41,22,17,35,106,49,42,68
NLGN1,843,412,219,202,213,115,72,124,523,241,141,215
NAALADL2,765,414,197,191,215,120,68,137,491,238,125,172
TBL1XR1,6235,6531,8013,6046,4470,1640,2849,4397,6679,6580,5208,5145
LOC104835101,322,349,173,110,104,62,52,82,208,399,110,152
ZMAT3,1528,1163,2122,1040,1248,541,771,1174,1887,1608,1210,1209
PIK3CA,13924,10834,21576,10698,10233,3678,6231,10998,14288,15638,12899,15144
ZNF639,250,165,240,155,137,71,88,116,244,188,161,277
LOC104835105,0,0,0,0,0,0,0,0,2,0,0,0
MFN1,4198,3202,3901,3267,2320,1232,1583,2174,4189,3405,2510,3125
GNB4,7195,5151,6376,5400,3599,1371,3539,3512,5043,6137,3969,7940
ACTL6A,358,236,363,201,181,102,116,161,308,223,227,249
MRPL47,649,335,523,395,298,170,212,255,545,395,308,386
NDUFB5,570,409,707,401,337,161,244,336,553,543,343,332
USP13,195,155,97,87,98,55,78,79,201,110,65,137
PEX5L,101,51,25,40,27,21,13,28,75,40,26,72
LOC104835115,35,25,62,47,40,8,16,14,27,25,18,43
TTC14,1518,953,1854,1084,942,512,782,934,1499,1562,1084,1394
CCDC39,69,52,27,42,41,28,33,17,59,47,37,62
FXR1,62894,50370,96815,60145,44355,20547,30235,35728,65590,75079,50053,75737
DNAJC19,2103,1357,1870,1128,1123,533,649,1107,2145,1638,1516,1261
SOX2,0,0,2,1,0,1,0,0,1,1,1,0
ATP11B,3015,2715,3376,2682,1916,516,1501,1547,1889,3377,1885,3742
DCUN1D1,2763,1873,2868,1833,1639,841,1181,1278,2861,2364,1895,1662
MCCC1,518,475,764,449,317,102,250,287,381,424,246,427
LAMP3,58,66,17,109,57,3,38,37,25,67,18,161
MCF2L2,416,269,177,201,156,47,87,154,220,230,149,352
B3GNT5,0,0,0,0,0,0,0,0,0,0,0,0
RFC4,139,39,83,85,39,25,40,49,86,73,47,73
EIF4A2,10661,6343,11453,6675,5549,2628,4613,4927,8662,9131,7172,9162
KNG1,200,150,250,90,123,79,77,90,196,199,120,155
HRG,126,89,118,62,64,37,42,50,92,84,62,112
FETUB,106,75,117,52,60,34,38,45,81,109,51,90
AHSG,62,52,48,47,48,10,23,27,48,67,32,47
LOC104835132,953,656,1052,759,439,175,344,576,752,951,689,759
EPHB3,52,14,26,22,20,8,13,10,38,26,23,25
POLR2H,237,112,235,201,197,73,97,96,219,197,130,157
THPO,7,1,5,4,7,0,2,4,4,5,1,2
CHRD,8,4,3,0,2,1,0,2,9,5,2,7
CLCN2,12,5,3,2,5,2,0,0,6,8,2,10
LOC104835211,1,0,0,0,0,0,0,1,0,0,0,0
FAM131A,4,0,0,0,1,1,0,1,2,0,1,3
EIF4G1,2783,1599,2830,1909,1860,727,1091,1606,3339,2374,1858,2052
LOC104835212,836,476,748,626,676,206,302,421,1013,678,560,601
PSMD2,2787,2110,4196,3483,2608,761,1722,1272,3262,3558,2023,2251
ECE2,8,5,2,2,11,1,3,4,12,5,4,18
LOC104835140,32,17,36,33,30,5,10,19,52,36,15,37
LOC104835215,18,8,3,7,5,2,3,1,10,9,9,9
ALG3,58,33,49,53,48,14,20,17,54,34,35,38
VWA5B2,10,3,5,3,1,4,0,2,5,1,3,8
LOC104835142,39,23,11,33,29,4,15,18,8,32,13,56
LOC104835217,29,21,5,16,14,1,8,10,18,18,10,31
ABCF3,1751,973,1376,1157,992,518,494,857,1899,1102,1286,990
AP2M1,2840,1867,2771,1960,1659,656,1218,1468,2625,2246,1718,2270
DVL3,2691,1678,2726,2041,1821,698,1059,1344,2907,2177,1771,1936
EIF2B5,2555,1577,2693,2004,1571,719,980,1234,2435,2011,1784,1347
ABCC5,2760,2086,2803,1491,1648,670,1147,1656,2479,2401,1817,2276
RNPEPL1,1282,665,957,659,544,243,368,488,920,701,749,1080
CAPN10,2940,1966,3481,2070,1841,900,1122,1408,2618,2431,2127,1873
LOC104835150,320,208,350,212,211,107,196,181,251,365,219,533
LOC104835151,545,647,1279,510,446,171,444,607,540,1043,709,1318
LOC104835152,249,293,417,208,237,95,190,249,261,375,228,479
LOC104835219,66,35,46,27,34,23,28,30,42,44,39,39
EIF4E2,2507,1846,2371,1933,1639,766,960,1279,2439,1854,1680,1543
CHRNG,15,6,10,5,13,5,10,9,22,8,10,14
CHRND,13,1,1,1,2,1,4,2,8,4,4,6
PRSS56,4,3,4,1,7,4,0,5,10,4,3,9
SLC12A9,79,59,41,36,34,8,10,21,22,41,22,70
ECEL1,8,6,2,4,4,1,0,3,10,6,3,6
LOC104835157,84,32,63,52,49,20,20,30,85,53,38,48
LOC104835159,96,23,96,67,60,30,32,42,121,60,69,67
DIS3L2,12291,8566,13338,8774,7598,3411,5163,7189,12384,11334,9148,9101
COPS7B,2645,1349,2074,1243,1266,619,807,1139,2226,1737,1512,1496
PDE6D,308,197,203,260,167,85,121,151,269,250,188,260
PTMA,2587,1967,2270,2647,1592,657,1043,1427,1729,2745,1406,3200
NMUR1,2,3,3,7,3,0,1,4,6,10,1,8
NCL,2767,2066,2825,2137,1506,864,1290,1895,2878,2239,1615,2605
B3GNT7,13,12,6,8,11,1,5,4,11,10,5,14
ARMC9,1287,1868,4198,1572,1952,192,1322,1107,731,3130,1539,1510
PSMD1,7839,5583,8431,6007,5176,2617,3258,3999,8314,7133,5178,5387
HTR2B,0,0,0,0,0,0,0,0,0,0,0,0
RPL35A,2554,1484,2756,1835,1588,563,828,835,2127,1940,1629,1488
IQCG,134,99,55,115,66,27,29,73,87,104,44,214
LRCH3,5121,3715,3753,3547,2750,1052,2188,3387,4282,4435,3259,5507
FYTTD1,3669,2551,3635,2361,1983,1016,1434,2023,3578,2885,2468,2330
KIAA0226,1620,906,1421,1159,1071,440,483,739,1639,1177,1036,1272
LOC104835223,26,8,5,11,9,2,8,10,19,18,9,27
LOC104835224,25,8,12,6,16,4,4,8,37,7,15,13
MUC4,70,17,24,33,48,13,19,24,75,24,18,27
TNK2,975,376,621,752,638,200,237,418,1132,643,771,638
